Philosophe	Naissance	Mort	Catégorie	Image	Page Wikipedia	Extrait Wikipédia
Alasdair MacIntyre	1929		Philosophie morale XXe	https://upload.wikimedia.org/wikipedia/commons/4/4c/Alasdair_MacIntyre.jpg	https://fr.wikipedia.org/wiki/Alasdair_MacIntyre	<p><b>Alasdair Chalmers MacIntyre</b>, né le <time datetime="1929-01-12" data-sort-value="1929-01-12">12 janvier 1929</time> à Glasgow, est un philosophe écossais qui s'est rendu célèbre pour ses contributions à la philosophie morale et politique. Il est également réputé pour son travail en histoire de la philosophie et en théologie.</p>
Bernard Williams	1929	2003	Philosophie analytique	https://upload.wikimedia.org/wikipedia/en/a/a6/BernardWilliams.jpg	https://fr.wikipedia.org/wiki/Bernard_Williams	<p>Sir <b>Bernard Arthur Owen Williams</b> (Westcliff-on-Sea, Essex, <time datetime="1929-09-21" data-sort-value="1929-09-21">21 septembre 1929</time> - Rome, 10 juin 2003) est un philosophe anglais, considéré comme l'un des plus brillants spécialistes de philosophie morale de son temps.</p>
Harry Frankfurt	1929		Philosophie analytique	https://upload.wikimedia.org/wikipedia/commons/0/0f/Harry_Frankfurt_at_2017_ACLS_Annual_Meeting.jpg	https://fr.wikipedia.org/wiki/Harry_Frankfurt	<p>Harry Gordon Frankfurt (né le 29 mai 1929) est un philosophe américain. Il est professeur émérite de philosophie à l'université de Princeton, où il a enseigné de 1990 à 2002. Frankfurt a également enseigné à l'université de Yale, à l'université Rockefeller et à l'université de l'Ohio. Frankfurt a apporté d'importantes contributions à des domaines tels que l'éthique et la philosophie de l'esprit. L'attitude de sollicitude joue un rôle central dans sa philosophie. Se soucier de quelque chose signifie le considérer comme important et reflète le caractère de la personne. Selon Francfort, une personne est quelqu'un qui a des volitions de second ordre ou qui se soucie de ses désirs. Il oppose les personnes aux “wantons”. Les “wantons” sont des êtres qui ont des désirs mais qui ne se soucient pas de savoir lesquels de leurs désirs se traduisent en action. Dans le domaine de l'éthique, Frankfurt a donné plusieurs contre-exemples influents, appelés cas de Frankfurt, contre le principe selon lequel la responsabilité morale dépend de la possibilité d'agir autrement. Son livre le plus populaire est <i>On Bullshit</i>, qui traite, entre autres, de la distinction entre la connerie et le mensonge.</p>
Jaakko Hintikka	1929	2015	Philosophie analytique	https://upload.wikimedia.org/wikipedia/commons/4/45/Hintikka_2.jpg	https://fr.wikipedia.org/wiki/Jaakko_Hintikka	<p><b>Jaakko Hintikka</b>, né le <time datetime="1929-01-12" data-sort-value="1929-01-12">12 janvier 1929</time> à Vantaa et mort le <time datetime="2015-08-12" data-sort-value="2015-08-12">12 août 2015</time> à Porvoo, est un philosophe et logicien finlandais.</p>
Jean Baudrillard	1929	2007	Philosophie française XXe	https://upload.wikimedia.org/wikipedia/commons/e/ef/WikipediaBaudrillard20040612-cropped.png	https://fr.wikipedia.org/wiki/Jean_Baudrillard	<p><b>Jean Baudrillard</b>, né le <time datetime="1929-07-27" data-sort-value="1929-07-27">27 juillet 1929</time> à Reims et mort le <time datetime="2007-03-06" data-sort-value="2007-03-06">6 mars 2007</time> à Paris, est un philosophe français théoricien de la société contemporaine, connu surtout pour ses analyses des modes de médiation et de communication de la postmodernité.</p>
Jürgen Habermas	1929		Philosophie sociale et politique XXe	https://upload.wikimedia.org/wikipedia/commons/2/23/JuergenHabermas_retouched.jpg	https://fr.wikipedia.org/wiki/J%C3%BCrgen_Habermas	<p><b>Jürgen Habermas</b> <span title="Alphabet phonétique international">[<span title="[ˈ] indique que la syllabe ou voyelle suivante porte l'accent tonique.">ˈ</span><span title="[j] « y » dans « payer », « ill » dans « Versailles ».">j</span><span title="[ʏ] « u » dans « sud » en français québécois ; ailleurs entre « eu » dans « peu » et « u » dans « pu ».">ʏ</span>ɐ̯<span title="[ɡ] « g » dans « gain ».">ɡ</span>n̩ <span title="[ˈ] indique que la syllabe ou voyelle suivante porte l'accent tonique.">ˈ</span><span title="[h] « h » dans « hop ». En anglais, « h » dans « hut »">h</span><span title="[a] « a » dans « patte ».">a</span><span title="[ː] indique que le son précédent est allongé/géminé.">ː</span><span title="[b] « b » dans « beau ».">b</span>ɐ<span title="[m] « m » dans « mou ».">m</span><span title="[a] « a » dans « patte ».">a</span><span title="[ː] indique que le son précédent est allongé/géminé.">ː</span><span title="[s] en français « s » dans « sa » ; ailleurs avec la langue un peu plus en arrière (tel le basque : « s » dans « euskara »).">s</span>]</span>, né le <time datetime="1929-06-18" data-sort-value="1929-06-18">18 juin 1929</time> à Düsseldorf, est un théoricien allemand en philosophie et en sciences sociales.</p><p>Il est avec Axel Honneth l'un des représentants de la deuxième génération de l'École de Francfort, et développe une pensée qui combine le matérialisme historique de Marx avec le pragmatisme américain, la théorie du développement de Piaget et Kohlberg, et la psychanalyse de Freud. Il a pris part à de nombreux débats théoriques en Allemagne, et s'est prononcé sur divers événements sociopolitiques et historiques.</p><p>Habermas considère « la réconciliation de la modernité qui se divise d’elle-même » comme le motif de son œuvre. Pour ce faire, il poursuit la stratégie d’« attaquer le problème universaliste de la philosophie transcendantale en détranscendantalisant simultanément la façon de progresser et les objectifs de la preuve », et ainsi de renoncer en particulier aux justifications ultimes. C'est dans cette voie qu'il a influencé l’évolution de la philosophie morale et sociale, en développant une théorie de la discussion en morale et en droit.</p>
Judith Jarvis Thomson	1929		Philosophie morale XXe	https://upload.wikimedia.org/wikipedia/en/3/3f/Judith_Jarvis_Thomson%2C_philosopher_%281929_%E2%80%93_2020%29.jpg	https://fr.wikipedia.org/wiki/Judith_Jarvis_Thomson	<p>Judith Jarvis Thomson (4 octobre 1929 - 20 novembre 2020) est une philosophe américaine qui a étudié et travaillé sur l'éthique et la métaphysique. Son travail s'étend sur une variété de domaines, mais elle est surtout connue pour son travail concernant l'expérience de pensée intitulée le problème du trolley et ses écrits sur l'avortement. On lui attribue le mérite d'avoir nommé, développé et initié la vaste littérature sur le problème du trolley, posé pour la première fois par Philippa Foot et qui a été largement utilisé depuis. Thomson a également publié un article intitulé "A Defense of Abortion", qui soutient que la procédure est moralement acceptable même si l'on suppose que le fœtus est une personne ayant droit à la vie. Elle a été élue membre de l'<i>American Philosophical Society</i> en 2019.</p>
Félix Guattari	1930	1992	Philosophie française XXe	https://upload.wikimedia.org/wikipedia/commons/1/14/%E3%83%95%E3%82%A7%E3%83%AA%E3%83%83%E3%82%AF%E3%82%B9%E3%83%BB%E3%82%AC%E3%82%BF%E3%83%AA.jpg	https://fr.wikipedia.org/wiki/F%C3%A9lix_Guattari	<p><b>Félix Guattari</b>, né le <time datetime="1930-03-30" data-sort-value="1930-03-30">30 mars 1930</time><sup>,</sup> à Villeneuve-les-Sablons (Oise) et mort le <time datetime="1992-08-29" data-sort-value="1992-08-29">29 août 1992</time> à la clinique de La Borde à Cour-Cheverny (Loir-et-Cher), est un psychanalyste et philosophe français, connu notamment pour ses ouvrages co-écrits avec Gilles Deleuze.</p>
Jacques Derrida	1930	2004	Philosophie française XXe	https://upload.wikimedia.org/wikipedia/commons/9/90/Chinmoy_Guha_with_Derrida_%28cropped%29.jpg	https://fr.wikipedia.org/wiki/Jacques_Derrida	<p><b>Jacques Derrida</b> (de son vrai nom <b>Jackie Derrida</b>) est un philosophe français né le <time datetime="1930-07-15" data-sort-value="1930-07-15">15 juillet 1930</time> à El Biar (Algérie française) et mort le <time datetime="2004-10-09" data-sort-value="2004-10-09">9 octobre 2004</time> à Paris.</p><p>Professeur à l'École normale supérieure entre 1965 et 1984, puis directeur d'études à l'École des hautes études en sciences sociales, il a créé et développé l'école de pensée autour du déconstructionnisme. Dans la lignée de Heidegger, Derrida remet en question la phénoménologie et la métaphysique traditionnelle et introduit une nouvelle manière de penser les sciences humaines.</p><p>Le point de départ de son œuvre est une critique de la linguistique et de la place dominante qu'elle occupe dans le champ des sciences humaines. Dans son ouvrage <i>De la grammatologie</i> (1967), Derrida montre que le modèle linguistique alors dominant repose sur une contradiction : la langue serait constituée d'une parole orale, dont l'écriture serait la transcription<i>.</i> La vraie langue (la langue originaire) serait donc la langue orale. Mais la linguistique s'appuie sur la langue écrite pour la structure de la langue, de sorte que l'origine de la langue écrite est la parole vive, mais que l'origine de la parole vive est la langue écrite. Derrida transpose ici dans le domaine de la linguistique le questionnement de l'origine qui était celui d'Edmund Husserl dans <i>L'Origine de la géométrie</i> (1954) et introduit la notion de « supplément originaire », ou simplement de « supplément ».</p><p>Cette contradiction de l'origine, posée d'abord — au niveau de la langue — entre parole et écriture, va ensuite se répercuter dans tous les domaines où Derrida portera son investigation : vers la structure d'un texte et le supplément à l'origine de ce texte, comme la langue dans lequel il fut écrit, vers le principe fondateur et la mort d'une idéologie, vers donner la mort et en accepter la responsabilité (euthanasie), vers l'opposition entre l'accueil et l'hostilité, vers la question politique de l'imposition des normes genrées.</p>
Pierre Bourdieu	1930	2002	Philosophie française XXe	https://upload.wikimedia.org/wikipedia/commons/c/c0/Pierre_Bourdieu_%281%29.jpg	https://fr.wikipedia.org/wiki/Pierre_Bourdieu	<p><b>Pierre Bourdieu</b>, né le <time datetime="1930-08-01" data-sort-value="1930-08-01"><abbr title="premier">1<sup>er</sup></abbr> août 1930</time> à Denguin (Pyrénées-Atlantiques) et mort le <time datetime="2002-01-23" data-sort-value="2002-01-23">23 janvier 2002</time> à Paris <abbr title="Douzième">12<sup>e</sup></abbr>, est un sociologue français.</p><p>Il est considéré comme l'un des sociologues les plus importants de la seconde moitié du <abbr title="20ᵉ siècle"><span>XX</span><sup style="font-size:72%">e</sup></abbr> siècle. Son ouvrage <i>La Distinction</i> a été classé parmi les dix plus importants travaux en sociologie du siècle par l'Association internationale de sociologie.</p><p>Par ailleurs, du fait de son engagement public, il est devenu, dans les dernières années de sa vie, l’un des acteurs principaux de la vie intellectuelle française. Sa pensée a exercé une influence considérable dans les sciences humaines et sociales, en particulier sur la sociologie française d’après-guerre. Sociologie du dévoilement, elle a fait l’objet de nombreuses critiques, qui lui reprochent en particulier une vision fataliste du social dont il se défendait.</p><p>Son œuvre sociologique s'appuie sur une analyse des mécanismes de reproduction des hiérarchies sociales. Bourdieu insiste sur l’importance des facteurs culturels et symboliques dans cette reproduction sociale et il critique le primat donné aux facteurs économiques dans les conceptions marxistes. Il entend souligner que la capacité des agents en position de domination à imposer leurs productions culturelles et symboliques joue un rôle essentiel dans la reproduction des rapports sociaux de domination. Ce que Pierre Bourdieu nomme la violence symbolique, qu’il définit comme la capacité à faire méconnaître l’arbitraire de ces productions symboliques, et donc à les faire admettre comme légitimes, est d’une importance majeure dans son analyse sociologique.</p><p>Le monde social des sociétés modernes apparaît à Pierre Bourdieu comme divisé en ce qu’il nomme des « champs ». Il lui semble, en effet, que la différenciation des activités sociales a conduit à la constitution de sous-espaces sociaux, comme le champ artistique ou le champ politique, spécialisés dans l’accomplissement d’une activité sociale donnée. Ces champs sont dotés d’une autonomie relative envers la société prise dans son ensemble. Ils sont hiérarchisés et leur dynamique provient des luttes de compétition que se livrent les agents sociaux pour y occuper les positions dominantes. Ainsi, comme les analystes marxistes, Pierre Bourdieu insiste sur l’importance de la lutte et du conflit dans le fonctionnement d’une société. Mais pour lui, ces conflits s’opèrent avant tout dans des champs sociaux. Ils trouvent leur origine dans leurs hiérarchies respectives, et sont fondés sur l’opposition entre agents dominants et agents dominés. Pour Bourdieu, les conflits ne se réduisent donc pas aux conflits entre classes sociales sur lesquels se centre l’analyse marxiste.</p><p>Pierre Bourdieu a également développé une théorie de l'action, autour du concept d’<i>habitus</i>, qui a exercé une grande influence dans les sciences sociales. Cette théorie cherche à montrer que les agents sociaux développent des stratégies, fondées sur un petit nombre de dispositions acquises par socialisation qui, bien qu'inconscientes, sont adaptées aux nécessités du monde social. L’œuvre de Bourdieu est ainsi ordonnée autour de quelques concepts recteurs : <i>habitus</i> comme principe d’action des agents, <i>champ</i> comme espace de compétition sociale fondamental et <i>violence symbolique</i> comme mécanisme premier d’imposition des rapports de domination. Bourdieu a désigné son approche des structures sociales dans leur dimension de constitution et de transformation sous le terme de structuralisme génétique (ou constructiviste).</p>
Jonathan Bennett	1930		Philosophie analytique		https://fr.wikipedia.org/wiki/Jonathan_Bennett_(philosophe)	<p><b>Jonathan Francis Bennett</b> (né le <time datetime="1930-02-17" data-sort-value="1930-02-17">17 février 1930</time>) est un philosophe britannique, spécialiste de philosophie du langage et de métaphysique, et historien de la philosophie moderne.</p>
Nuel Belnap	1930		Philosophie analytique		https://en.wikipedia.org/wiki/Nuel_Belnap	<p>Nuel Dinsmore Belnap Jr. (/ˈbɛlnæp/ ; né en 1930) est un logicien et philosophe américain qui a contribué à la philosophie de la logique, à la logique temporelle et à la théorie de la preuve structurelle. Il a enseigné à l'Université de Pittsburgh de 1963 jusqu'à sa retraite en 2011.</p>
Charles Taylor	1931		Philosophie sociale et politique XXe	https://upload.wikimedia.org/wikipedia/commons/4/44/Charles_Taylor_%282019%29.jpg	https://fr.wikipedia.org/wiki/Charles_Taylor_(philosophe)	<p><b>Charles Margrave Taylor</b>, <small>C.C.</small>, <small>Ph.D.</small>, <small>M.A., B.A., FRSC</small>, né le <time datetime="1931-11-05" data-sort-value="1931-11-05">5 novembre 1931</time> à Montréal (Québec), est un philosophe canadien.</p><p>Il est professeur émérite de science politique et de philosophie à l'Université McGill (Montréal) où il enseigne de 1961 à 1997. Sa réflexion se situe au carrefour de nombreux courants de pensée et disciplines : la philosophie analytique, la phénoménologie, l'herméneutique, la philosophie morale, la philosophie de la religion, l'anthropologie, la sociologie, la philosophie politique et l'histoire. Cette variété de thèmes est abordée selon une constante continuité d'inspiration et de style. Ses écrits sont traduits en plus de vingt langues.</p><p>En 2007, il est nommé par le gouvernement québécois coprésident de la Commission de consultation sur les pratiques d'accommodement reliées aux différences culturelles (CCPARDC, dite « Commission Bouchard–Taylor ») avec le sociologue et historien Gérard Bouchard.</p>
